Year,Agency ID,Agency Name,Program Name,County,Calculation Method,Total Children Served, Expenditure ,Population
2015,DOE,Department of Education,SNP Fresh Fruits and Vegetables,Anderson,Estimate,3244,"$13,739 ","75,456"
2015,DOE,Department of Education,SNP National School Lunch Program,Anderson,Estimate,6624,"$2,621,196 ","75,456"
2015,DOE,Department of Education,SNP School Breakfast Program,Anderson,Estimate,3273,"$986,802 ","75,456"
2015,DOE,Department of Education,SSMS,Anderson,Actual,904,"$2,305 ","75,456"
2015,DOE,Department of Education,Safe Schools Act of 1998,Anderson,Estimate,2367,"$59,340 ","75,456"
2015,DOE,Department of Education,Tennessee's Early Intervention System (TEIS),Anderson,Actual,34,"$240,387 ","75,456"
2015,DOE,Department of Education,"Title IV-B, 21st Century Community Learning Cente",Anderson,Actual,257,"$380,622 ","75,456"
2015,DOE,Department of Education,VPK - Voluntary Pre-K,Anderson,Estimate,255,"$1,170,205 ","75,456"
2015,DOE_BEP,Department of Education,Basic Education Program (BEP),Anderson,Actual,11808,"$51,984,000 ","75,456"
2015,DMHSAS,Department of Mental Health and Substance Abuse Services,Better Attitudes and Skills In Children (B.A.S.I.,Anderson,Estimate,544,"$76,278 ","75,456"
2015,DMHSAS,Department of Mental Health and Substance Abuse Services,Child Care Consultation,Anderson,Estimate,492,"$8,230 ","75,456"
2015,DMHSAS,Department of Mental Health and Substance Abuse Services,Community Anti-Drug Coalitions (including Partner,Anderson,Estimate,31258,"$37,878 ","75,456"
2015,DMHSAS,Department of Mental Health and Substance Abuse Services,Criminal Justice and Mental Health Liaisons,Anderson,Estimate,12,"$9,297 ","75,456"
2015,DMHSAS,Department of Mental Health and Substance Abuse Services,Drug Courts and Drug Court Fees,Anderson,Estimate,9,"$17,729 ","75,456"
2015,DMHSAS,Department of Mental Health and Substance Abuse Services,East Tennessee Diversion,Anderson,Estimate,20,"$3,143 ","75,456"
2015,DMHSAS,Department of Mental Health and Substance Abuse Services,Peer Recovery Call Center,Anderson,Estimate,24,$117 ,"75,456"
2015,DMHSAS,Department of Mental Health and Substance Abuse Services,Peer Wellness Coaches,Anderson,Estimate,1,$690 ,"75,456"
2015,DMHSAS,Department of Mental Health and Substance Abuse Services,Planned Respite,Anderson,Estimate,7,"$17,075 ","75,456"
2015,DMHSAS,Department of Mental Health and Substance Abuse Services,Supported Employment Initiative,Anderson,Estimate,2,"$11,995 ","75,456"
2015,DMHSAS,Department of Mental Health and Substance Abuse Services,System of Care Expansion,Anderson,Estimate,23,"$134,755 ","75,456"
2015,DMHSAS,Department of Mental Health and Substance Abuse Services,Tele-Treatment,Anderson,Estimate,3,"$8,798 ","75,456"
2016,DCS,Department of Children's Services,Adoption - Support Services,Anderson,Estimate,287,"$2,478,600 ","75,528"
2016,DCS,Department of Children's Services,Foster Care,Anderson,Estimate,140,"$632,300 ","75,528"
2016,DOH,Department of Health,AIDS Prevention,Anderson,Estimate,18,"$1,662 ","75,528"
2016,DOH,Department of Health,Child Health,Anderson,Estimate,1373,"$96,827 ","75,528"
2016,DOH,Department of Health,Children's Special Services,Anderson,Actual,1,"$1,411 ","75,528"
2016,DOH,Department of Health,Family Planning,Anderson,Estimate,82,"$4,316 ","75,528"
2016,DOH,Department of Health,Men's Health,Anderson,Estimate,14,"$3,763 ","75,528"
2016,DOH,Department of Health,Sexually Transmitted Diseases,Anderson,Actual,328,"$23,360 ","75,528"
2016,DOH,Department of Health,TennCare EPSD&T Screening,Anderson,Actual,533,"$98,106 ","75,528"
2016,DOH,Department of Health,TennCare Kids EPSD&T Community Outreach,Anderson,Actual,1921,"$52,534 ","75,528"
2016,DOH,Department of Health,TN Home Visiting - (HUGS),Anderson,Actual,4,"$3,965 ","75,528"
2016,DOH,Department of Health,WIC Office Visit,Anderson,Actual,1616,"$158,911 ","75,528"
2016,DHS,Department of Human Services,Child Care Benefits,Anderson,Actual,162,*,"75,528"
2016,DHS,Department of Human Services,Food Stamp Benefits/SNAP,Anderson,Actual,5145,*,"75,528"
2016,DHS,Department of Human Services,TANF/Families First,Anderson,Actual,529,*,"75,528"
2016,GELF,Governor's Books from Birth Foundation,Dolly Parton's Imagination Library,Anderson,Actual,2660,"$33,937 ","75,528"
2016,TCCY,Tennessee Commission on Children and Youth,Court Appointed Special Advocate (CASA),Anderson,Estimate,76,"$16,500 ","75,528"
2016,TCCY,Tennessee Commission on Children and Youth,Juvenile Justice-Reimbursement Accounts,Anderson,Estimate,22,"$2,000 ","75,528"
2016,TAC,TN Arts Commission,Community Learning (AE-CL),Anderson,Actual,47,"$1,500 ","75,528"
2016,TAC,TN Arts Commission,Student Ticket Subsidies,Anderson,Actual,668,"$8,096 ","75,528"
2016,TSM,TN State Museum,Museum Visitations,Anderson,Actual,538,*,"75,528"
2016,DOE,Department of Education,Internet Connectivity,Anderson,Actual,11681,"$31,474 ","75,528"
2016,DOE,Department of Education,Admin - LEAPs - Lottery for Education: Afterschoo,Anderson,Actual,281,"$288,476 ","75,528"
2016,DOE,Department of Education,CCTE Perkins Basic Grant,Anderson,Actual,3600,"$187,288 ","75,528"
2016,DOE,Department of Education,CCTE Perkins Reserve Grant,Anderson,Estimate,3600,"$163,103 ","75,528"
2016,DOE,Department of Education,CCTE Perkins Incentive Funds,Anderson,Estimate,2205,"$4,000 ","75,528"
2016,DOE,Department of Education,Boys & Girls Clubs Project Learn,Anderson,Actual,50,"$10,833 ","75,528"
2016,DOE,Department of Education,Coordinated School Health,Anderson,Actual,12021,"$250,000 ","75,528"
2016,DOE,Department of Education,"ESEA-Title I, Part A-School Improvement",Anderson,Estimate,12443,"$3,045,084 ","75,528"
2016,DOE,Department of Education,ESEA-Title II-A-Teacher Quality,Anderson,Actual,12443,"$452,506 ","75,528"
2016,DOE,Department of Education,ESEA-Title III English Language Acquisition,Anderson,Actual,116,"$14,966 ","75,528"
2016,DOE,Department of Education,Family Resource Center (FRC),Anderson,Estimate,4020,"$88,835 ","75,528"
2016,DOE,Department of Education,"IDEA, Part B  (611)",Anderson,Actual,1910,"$2,619,241 ","75,528"
2016,DOE,Department of Education,"IDEA, Preschool (619) Flowthrough",Anderson,Actual,198,"$100,174 ","75,528"
2016,DOE,Department of Education,SNP Afterschool Snack Program,Anderson,Estimate,430,"$52,970 ","75,528"
2016,DOE,Department of Education,SNP Fresh Fruits and Vegetables,Anderson,Estimate,621,"$15,450 ","75,528"
2016,DOE,Department of Education,SNP National School Lunch Program,Anderson,Estimate,6256,"$2,838,034 ","75,528"
2016,DOE,Department of Education,SNP School Breakfast Program,Anderson,Estimate,3668,"$1,118,268 ","75,528"
2016,DOE,Department of Education,SSMS,Anderson,Estimate,913,"$2,328 ","75,528"
2016,DOE,Department of Education,Safe Schools Act of 1998,Anderson,Estimate,2367,"$59,110 ","75,528"
2016,DOE,Department of Education,Tennessee's Early Intervention System (TEIS),Anderson,Actual,50,"$312,125 ","75,528"
2016,DOE,Department of Education,"Title IV-B, 21st Century Community Learning Cente",Anderson,Actual,259,"$170,580 ","75,528"
2016,DOE,Department of Education,VPK - Voluntary Pre-K,Anderson,Estimate,258,"$1,170,205 ","75,528"
2016,DOE_BEP,Department of Education,Basic Education Program (BEP),Anderson,Actual,11680,"$51,579,000 ","75,528"
2017,DCS,Department of Children's Services,Adoption - Support Services,Anderson,Estimate,282,"$2,432,926 ","76,056"
2017,DCS,Department of Children's Services,Foster Care,Anderson,Estimate,160,"$375,837 ","76,056"
2017,DOH,Department of Health,AIDS Prevention,Anderson,Estimate,151,"$9,937 ","76,056"
2017,DOH,Department of Health,Child Health,Anderson,Actual,1470,"$140,855 ","76,056"
2017,DOH,Department of Health,Child Health & Development (CHAD),Anderson,Actual,3,$96 ,"76,056"
2017,DOH,Department of Health,Family Planning,Anderson,Estimate,298,"$46,442 ","76,056"
2017,DOH,Department of Health,Men's Health,Anderson,Estimate,30,"$11,454 ","76,056"
2017,DOH,Department of Health,Sexually Transmitted Diseases,Anderson,Actual,338,"$17,274 ","76,056"
2017,DOH,Department of Health,TennCare EPSD&T Screening,Anderson,Actual,506,"$96,716 ","76,056"
2017,DOH,Department of Health,TennCare Kids EPSD&T Community Outreach,Anderson,Actual,1798,"$70,520 ","76,056"
2017,DOH,Department of Health,TN Home Visiting - (HUGS),Anderson,Actual,24,"$20,826 ","76,056"
2017,DOH,Department of Health,WIC,Anderson,Estimate,951,"$1,466,515 ","76,056"
2017,DOH,Department of Health,Women's Health,Anderson,Actual,92,"$18,832 ","76,056"
2017,DHS,Department of Human Services,Child Care Benefits,Anderson,Actual,248,*,"76,056"
2017,DHS,Department of Human Services,Food Stamp Benefits/SNAP,Anderson,Actual,5339,*,"76,056"
2017,DHS,Department of Human Services,TANF/Families First,Anderson,Actual,495,*,"76,056"
2017,GELF,Governor's Books from Birth Foundation,"TN's Imagination Library, a program of GBBF",Anderson,Estimate,2745,"$34,174 ","76,056"
2017,TCCY,Tennessee Commission on Children and Youth,Court Appointed Special Advocate (CASA),Anderson,Actual,478,"$18,000 ","76,056"
2017,THEC,Tennessee Higher Education Commission,Dual Enrollment Grant,Anderson,Actual,417,"$258,977 ","76,056"
2017,TAC,TN Arts Commission,Community Learning (AE-CL),Anderson,Actual,460,*,"76,056"
2017,TAC,TN Arts Commission,Student Ticket Subsidies,Anderson,Actual,944,"$8,267 ","76,056"
2017,TSM,TN State Museum,Museum Visitations,Anderson,Actual,30,*,"76,056"
2017,DOE,Department of Education,Internet Connectivity,Anderson,Actual,11639,"$31,308 ","76,056"
2017,DOE,Department of Education,Admin - LEAPs - Lottery for Education: Afterschoo,Anderson,Actual,281,"$334,479 ","76,056"
2017,DOE,Department of Education,CCTE Perkins Basic Grant,Anderson,Actual,3568,"$181,561 ","76,056"
2017,DOE,Department of Education,CCTE Perkins Reserve Grant,Anderson,Actual,3568,"$87,133 ","76,056"
2017,DOE,Department of Education,CCTE Perkins Incentive Funds,Anderson,Actual,3568,"$3,500 ","76,056"
2017,DOE,Department of Education,Coordinated School Health,Anderson,Estimate,11900,"$249,900 ","76,056"
2017,DOE,Department of Education,"ESEA-Title I, Part A-School Improvement",Anderson,Estimate,12417,"$2,998,705 ","76,056"
2017,DOE,Department of Education,ESEA-Title II-Teacher Quality-State Agencies,Anderson,Actual,12443,"$452,506 ","76,056"
2017,DOE,Department of Education,"ESEA-Title II, Part A - Improving Teacher Quality",Anderson,Actual,12443,"$452,506 ","76,056"
2017,DOE,Department of Education,ESEA-Title III English Language Acquisition,Anderson,Actual,138,"$16,363 ","76,056"
2017,DOE,Department of Education,Family Resource Center (FRC),Anderson,Estimate,11084,"$88,834 ","76,056"
2017,DOE,Department of Education,"IDEA, Part B  (611)",Anderson,Actual,1901,"$2,678,602 ","76,056"
2017,DOE,Department of Education,"IDEA, Preschool (619) Flowthrough",Anderson,Actual,205,"$121,494 ","76,056"
2017,DOE,Department of Education,SNP Afterschool Snack Program,Anderson,Estimate,501,"$60,948 ","76,056"
2017,DOE,Department of Education,SNP Fresh Fruits and Vegetables,Anderson,Estimate,785,"$43,410 ","76,056"
2017,DOE,Department of Education,SNP National School Lunch Program,Anderson,Estimate,6162,"$2,906,374 ","76,056"
2017,DOE,Department of Education,SNP School Breakfast Program,Anderson,Estimate,3711,"$1,160,790 ","76,056"
2017,DOE,Department of Education,SSMS,Anderson,Actual,877,"$2,236 ","76,056"
2017,DOE,Department of Education,Safe Schools Act of 1998,Anderson,Estimate,37534,"$11,205 ","76,056"
2017,DOE,Department of Education,Tennessee's Early Intervention System (TEIS),Anderson,Actual,61,"$376,139 ","76,056"
2017,DOE,Department of Education,"Title IV-B, 21st Century Community Learning Cente",Anderson,Actual,227,"$184,547 ","76,056"
2017,DOE,Department of Education,VPK - Voluntary Pre-K,Anderson,Actual,257,"$1,172,067 ","76,056"
2017,DOE_BEP,Department of Education,Basic Education Program (BEP),Anderson,Actual,11639,"$55,124,000 ","76,056"
2018,DCS,Department of Children's Services,Adoption - Support Services,Anderson,Estimate,288,"$2,595,613 ","76,287"
2018,DCS,Department of Children's Services,Foster Care,Anderson,Estimate,229,"$4,180,196 ","76,287"
2018,DECD,Department of Economic and Community Development,Rural Task Force: Work-Based Learning Grant,Anderson,Estimate,30,"$50,000 ","76,287"
2018,DOH,Department of Health,Child Health,Anderson,Estimate,1772,"$178,292 ","76,287"
2018,DOH,Department of Health,Child Health & Development (CHAD),Anderson,Estimate,3,"$1,930 ","76,287"
2018,DOH,Department of Health,Family Planning,Anderson,Estimate,230,"$64,897 ","76,287"
2018,DOH,Department of Health,TennCare EPSD&T Screening,Anderson,Estimate,655,"$161,794 ","76,287"
2018,DOH,Department of Health,TennCare Kids EPSD&T Community Outreach,Anderson,Estimate,1786,"$32,283 ","76,287"
2018,DOH,Department of Health,TN Home Visiting - (HUGS),Anderson,Estimate,20,"$19,453 ","76,287"
2018,DOH,Department of Health,WIC Office Visit,Anderson,Estimate,1699,"$87,676 ","76,287"
2018,DOH,Department of Health,Women's Health,Anderson,Estimate,76,"$14,043 ","76,287"
2018,DHS,Department of Human Services,Child Care Benefits,Anderson,Actual,258,*,"76,287"
2018,DHS,Department of Human Services,Food Stamp Benefits/SNAP,Anderson,Estimate,4511,*,"76,287"
2018,DHS,Department of Human Services,TANF/Families First,Anderson,Actual,463,*,"76,287"
2018,GELF,Governor's Books from Birth Foundation,"TN's Imagination Library, a program of GBBF",Anderson,Estimate,2902,"$35,381 ","76,287"
2018,TCCY,Tennessee Commission on Children and Youth,Court Appointed Special Advocate (CASA),Anderson,Actual,544,"$20,000 ","76,287"
2018,TAC,TN Arts Commission,Community Learning (AE-CL),Anderson,Actual,54,$600 ,"76,287"
2018,TAC,TN Arts Commission,Student Ticket Subsidies,Anderson,Actual,1343,"$9,514 ","76,287"
2018,TSM,TN State Museum,Museum Visitations,Anderson,Actual,125,*,"76,287"
2018,DOE,Department of Education,Internet Connectivity,Anderson,Actual,11621,"$30,745 ","76,287"
2018,DOE,Department of Education,Admin - LEAPs - Lottery for Education: Afterschoo,Anderson,Actual,362,"$444,918 ","76,287"
2018,DOE,Department of Education,CCTE Perkins Basic Grant,Anderson,Estimate,10748,"$194,935 ","76,287"
2018,DOE,Department of Education,CCTE Perkins Reserve Grant,Anderson,Estimate,10748,"$195,444 ","76,287"
2018,DOE,Department of Education,Coordinated School Health,Anderson,Estimate,11799,"$250,000 ","76,287"
2018,DOE,Department of Education,"ESSA-Title I, Part A - Improving Basic Programs",Anderson,Estimate,12471,"$2,871,083 ","76,287"
2018,DOE,Department of Education,"ESSA-Title II, Part A - Improving Teacher Quality",Anderson,Actual,12471,"$405,528 ","76,287"
2018,DOE,Department of Education,ESSA-Title III English Language Acquisition,Anderson,Estimate,147,"$15,668 ","76,287"
2018,DOE,Department of Education,ESSA-Title IV-A Stud. Support/Acad. Enrichment,Anderson,Estimate,12471,"$81,051 ","76,287"
2018,DOE,Department of Education,Family Resource Center (FRC),Anderson,Estimate,1914,"$88,835 ","76,287"
2018,DOE,Department of Education,"IDEA, Part B  (611)",Anderson,Actual,1891,"$3,139,473 ","76,287"
2018,DOE,Department of Education,"IDEA, Preschool (619) Flowthrough",Anderson,Actual,184,"$121,503 ","76,287"
2018,DOE,Department of Education,SNP Seamless Summer Program,Anderson,Estimate,132,"$8,675 ","76,287"
2018,DOE,Department of Education,SNP Fresh Fruits and Vegetables,Anderson,Estimate,129,"$6,725 ","76,287"
2018,DOE,Department of Education,SNP National School Lunch Program,Anderson,Estimate,6294,"$2,938,188 ","76,287"
2018,DOE,Department of Education,SNP School Breakfast Program,Anderson,Estimate,3696,"$1,172,917 ","76,287"
2018,DOE,Department of Education,SSMS,Anderson,Actual,942,"$1,460 ","76,287"
2018,DOE,Department of Education,Safe Schools Act of 1998,Anderson,Estimate,11457,"$58,456 ","76,287"
2018,DOE,Department of Education,Tennessee's Early Intervention System (TEIS),Anderson,Actual,91,"$551,743 ","76,287"
2018,DOE,Department of Education,"Title IV-B, 21st Century Community Learning Cente",Anderson,Actual,226,"$251,487 ","76,287"
2018,DOE,Department of Education,VPK - Voluntary Pre-K,Anderson,Actual,246,"$1,202,978 ","76,287"
2018,DOE_BEP,Department of Education,Basic Education Program (BEP),Anderson,Actual,11621,"$57,636,000 ","76,287"
2019,DCS,Department of Children's Services,Adoption - Support Services,Anderson,Actual,299,"$2,666,377 ","76,978"
2019,DCS,Department of Children's Services,Dependent and Neglect Placement - Foster Care,Anderson,Actual,266,"$3,865,871 ","76,978"
2019,DCS,Department of Children's Services,Juvenile Justice Placement,Anderson,Actual,49,"$1,310,932 ","76,978"
2019,DCS,Department of Children's Services,Subsidized Permanent Guardianship,Anderson,Actual,6,"$50,648 ","76,978"
2019,DOH,Department of Health,Child Health,Anderson,Actual,1586,"$144,097 ","76,978"
2019,DOH,Department of Health,Men's Health,Anderson,Estimate,21,"$7,892 ","76,978"
2019,DOH,Department of Health,TennCare EPSD&T Screening,Anderson,Actual,494,"$122,691 ","76,978"
2019,DOH,Department of Health,WIC Office Visit,Anderson,Estimate,1624,"$169,029 ","76,978"
2019,DOH,Department of Health,Women's Health,Anderson,Estimate,76,"$18,078 ","76,978"
2019,DHS,Department of Human Services,Child Care Benefits,Anderson,Actual,229,*,"76,978"
2019,DHS,Department of Human Services,Food Stamp Benefits/SNAP,Anderson,Actual,4581,*,"76,978"
2019,DHS,Department of Human Services,TANF/Families First,Anderson,Actual,453,*,"76,978"
2019,GELF,Governor's Books from Birth Foundation,"TN's Imagination Library, a program of GBBF",Anderson,Actual,2931,"$35,561 ","76,978"
2019,TCCY,Tennessee Commission on Children and Youth,Court Appointed Special Advocate (CASA),Anderson,Actual,69,"$22,000 ","76,978"
2019,THEC,Tennessee Higher Education Commission,Dual Enrollment Grant,Anderson,Estimate,499,"$273,993 ","76,978"
2019,THEC,Tennessee Higher Education Commission,Middle College Scholarship,Anderson,Estimate,27,"$29,400 ","76,978"
2019,TAC,TN Arts Commission,Community Learning (AE-CL),Anderson,Actual,12,"$1,350 ","76,978"
2019,TAC,TN Arts Commission,Student Ticket Subsidies,Anderson,Actual,642,"$6,301 ","76,978"
2019,TSM,TN State Museum,Museum Visitations,Anderson,Actual,77,*,"76,978"
2019,DOE,Department of Education,Admin - LEAPs - Lottery for Education: Afterschoo,Anderson,Actual,392,"$397,039 ","76,978"
2019,DOE,Department of Education,CCTE Perkins Basic Grant,Anderson,Estimate,3598,"$176,878 ","76,978"
2019,DOE,Department of Education,CCTE Perkins Reserve Grant,Anderson,Actual,3598,"$15,116 ","76,978"
2019,DOE,Department of Education,CCTE Early Postsecondary,Anderson,Actual,110,"$3,300 ","76,978"
2019,DOE,Department of Education,CCTE Jobs for Tennessee Graduates,Anderson,Estimate,2193,"$5,000 ","76,978"
2019,DOE,Department of Education,Coordinated School Health,Anderson,Estimate,11803,"$250,000 ","76,978"
2019,DOE,Department of Education,"ESSA-Title I, Part A - Improving Basic Programs",Anderson,Estimate,12220,"$2,793,824 ","76,978"
2019,DOE,Department of Education,"ESSA-Title II, Part A - Improving Teacher Quality",Anderson,Estimate,12219,"$364,352 ","76,978"
2019,DOE,Department of Education,ESSA-Title III English Language Acquisition,Anderson,Actual,108,"$13,818 ","76,978"
2019,DOE,Department of Education,ESSA-Title IV-A Stud. Support/Acad. Enrichment,Anderson,Estimate,12219,"$198,688 ","76,978"
2019,DOE,Department of Education,Family Resource Center (FRC),Anderson,Actual,2353,"$90,178 ","76,978"
2019,DOE,Department of Education,Read to be Ready - Coaching Network,Anderson,Estimate,2405,"$332,594 ","76,978"
2019,DOE,Department of Education,"IDEA, Part B  (611)",Anderson,Actual,2500,"$3,302,425 ","76,978"
2019,DOE,Department of Education,"IDEA, Preschool (619) Flowthrough",Anderson,Actual,255,"$131,686 ","76,978"
2019,DOE,Department of Education,SNP Fresh Fruits and Vegetables,Anderson,Estimate,114,$0 ,"76,978"
2019,DOE,Department of Education,SNP National School Lunch Program,Anderson,Estimate,6102,"$3,065,410 ","76,978"
2019,DOE,Department of Education,SNP School Breakfast Program,Anderson,Estimate,3568,"$1,241,777 ","76,978"
2019,DOE,Department of Education,SSMS,Anderson,Actual,916,"$1,420 ","76,978"
2019,DOE,Department of Education,Safe Schools Act of 1998,Anderson,Estimate,11613,"$422,013 ","76,978"
2019,DOE,Department of Education,Tennessee's Early Intervention System (TEIS),Anderson,Actual,102,"$577,539 ","76,978"
2019,DOE,Department of Education,"Title IV-B, 21st Century Community Learning Cente",Anderson,Actual,245,"$244,367 ","76,978"
2019,DOE,Department of Education,VPK - Voluntary pre-K,Anderson,Actual,249,"$1,198,006 ","76,978"
2019,DOE_BEP,Department of Education,Basic Education Program (BEP),Anderson,Actual,11594,"$59,526,000 ","76,978"
2020,DCS,Department of Children's Services,Adoption - Support Services,Anderson,Actual,310,"$2,775,580 ",
2020,DCS,Department of Children's Services,Dependent and Neglect Placement - Foster Care,Anderson,Actual,313,"$6,599,521 ",
2020,DCS,Department of Children's Services,Juvenile Justice Placement,Anderson,Actual,33,"$1,037,739 ",
2020,DCS,Department of Children's Services,Subsidized Permanent Guardianship,Anderson,Actual,5,"$48,283 ",
2020,DHS,Department of Human Services,Child Care Benefits,Anderson,Actual,228,*,
2020,DHS,Department of Human Services,Food Stamp Benefits/SNAP,Anderson,Actual,4256,*,
2020,DHS,Department of Human Services,TANF/Families First,Anderson,Actual,390,*,
2020,GELF,Governor's Early Literacy Foundation,"TN's Imagination Library, a program of GBBF",Anderson,Actual,4212,"$34,679 ",
2020,TCCY,Tennessee Commission on Children and Youth,Court Appointed Special Advocate (CASA),Anderson,Actual,132,"$22,000 ",
2020,TAC,TN Arts Commission,Community Learning (AE-CL),Anderson,Actual,12,"$1,350 ",
2020,TAC,TN Arts Commission,Student Ticket Subsidies,Anderson,Actual,642,"$6,301 ",
2020,DOE,Department of Education,Admin - LEAPs - Lottery for Education: Afterschoo,Anderson,Actual,298,"$370,659 ",
2020,DOE,Department of Education,CCTE Perkins Basic Grant,Anderson,Actual,2244,"$216,977 ",
2020,DOE,Department of Education,CCTE Perkins Reserve Grant,Anderson,Estimate,991,"$116,000 ",
2020,DOE,Department of Education,CCTE Early Postsecondary,Anderson,Estimate,110,"$3,300 ",
2020,DOE,Department of Education,CCTE Jobs for Tennessee Graduates,Anderson,Estimate,2193,"$5,000 ",
2020,DOE,Department of Education,Coordinated School Health,Anderson,Estimate,12184,"$249,999 ",
2020,DOE,Department of Education,"ESSA-Title I, Part A - Improving Basic Programs",Anderson,Estimate,12544,"$2,785,879 ",
2020,DOE,Department of Education,"ESSA-Title II, Part A - Improving Teacher Quality",Anderson,Estimate,2408,"$402,413 ",
2020,DOE,Department of Education,ESSA-Title III English Language Acquisition,Anderson,Actual,112,"$15,117 ",
2020,DOE,Department of Education,ESSA Title III-A - Disc. Immigrant,Anderson,Actual,12544,"$206,437 ",
2020,DOE,Department of Education,ESSA-Title V-B Rural Education Initiative,Anderson,Estimate,1982,"$90,034 ",
2020,DOE,Department of Education,"IDEA, Part B Discretionary (611)",Anderson,Actual,3854,"$2,855,989 ",
2020,DOE,Department of Education,"IDEA, Preschool (619) Flowthrough",Anderson,Actual,195,"$131,016 ",
2020,DOE,Department of Education,SNP Fresh Fruits and Vegetables,Anderson,Estimate,745,"$37,250 ",
2020,DOE,Department of Education,SNP National School Lunch Program,Anderson,Estimate,6717,"$2,447,382 ",
2020,DOE,Department of Education,SNP School Breakfast Program,Anderson,Estimate,13570,"$368,311 ",
2020,DOE,Department of Education,SSMS,Anderson,Actual,916,"$1,420 ",
2020,DOE,Department of Education,Safe Schools Act of 1998,Anderson,Estimate,11639,"$238,810 ",
2020,DOE,Department of Education,School Resource Officer Grant,Anderson,Estimate,6140,"$455,000 ",
2020,DOE,Department of Education,Tennessee's Early Intervention System (TEIS),Anderson,Actual,118,"$634,747 ",
2020,DOE,Department of Education,"Title IV-B, 21st Century Community Learning Cente",Anderson,Actual,162,"$173,671 ",
2020,DOE,Department of Education,VPK - Voluntary pre-K,Anderson,Actual,240,"$1,195,318 ",
2020,DOE,Department of Education,Boys & Girls Clubs Project Learn,Anderson,Actual,43,"$11,200 ",
2020,DOE_BEP,Department of Education,Basic Education Program (BEP),Anderson,Actual,11546,"$60,739,000 ",
2021,DCS,Department of Children's Services,Adoption - Support Services,Anderson,Actual,321,*,
