,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Obion,"31,807","31,807","31,822","31,675","31,310","31,017","30,828","30,561","30,547","30,375","30,274","30,069"
Overton,"22,083","22,082","22,092","22,165","22,164","21,969","21,951","22,067","21,964","21,998","22,068","22,241"
Perry,"7,915","7,930","7,940","7,865","7,852","7,880","7,819","7,852","7,880","7,954","8,050","8,076"
Pickett,"5,077","5,086","5,082","5,124","5,048","5,013","5,078","5,139","5,091","5,062","5,053","5,048"
Polk,"16,825","16,821","16,813","16,771","16,624","16,632","16,684","16,769","16,794","16,759","16,918","16,832"
Putnam,"72,321","72,339","72,549","73,065","73,529","74,095","74,930","75,074","75,985","77,299","78,631","80,245"
Rhea,"31,809","31,804","31,858","32,082","32,367","32,529","32,623","32,373","32,474","32,671","32,911","33,167"
Roane,"54,181","54,208","54,169","53,988","53,615","53,161","52,852","52,770","52,944","53,020","53,258","53,382"
Robertson,"66,283","66,319","66,322","66,775","66,798","67,412","68,046","68,687","69,393","70,328","71,179","71,813"
Rutherford,"262,604","262,588","263,708","269,160","274,397","281,148","288,848","298,197","307,415","316,531","324,647","332,285"
Scott,"22,228","22,232","22,227","22,105","22,175","22,062","21,990","21,893","21,890","21,964","22,028","22,068"
Sequatchie,"14,112","14,121","14,128","14,274","14,350","14,537","14,634","14,641","14,754","14,767","14,891","15,026"
Sevier,"89,889","89,720","89,923","91,192","92,362","93,477","94,660","95,417","96,470","97,307","97,895","98,250"
Shelby,"927,644","927,682","928,447","933,186","939,168","938,363","937,500","937,067","936,021","935,251","936,365","937,166"
Smith,"19,166","19,150","19,126","19,210","19,179","19,117","19,097","19,308","19,526","19,732","19,979","20,157"
Stewart,"13,324","13,313","13,348","13,223","13,309","13,277","13,210","13,187","13,190","13,422","13,619","13,715"
Sullivan,"156,823","156,800","156,749","156,876","156,322","156,185","156,404","156,199","156,182","156,924","157,599","158,348"
Sumner,"160,645","160,634","161,214","163,680","165,967","168,754","172,269","175,326","179,332","183,756","187,490","191,283"
Tipton,"61,081","61,006","61,065","61,305","61,524","61,572","61,596","61,533","61,223","61,305","61,576","61,599"
Trousdale,"7,870","7,864","7,874","7,815","7,794","7,810","7,998","8,051","9,955","10,831","11,033","11,284"
Unicoi,"18,313","18,311","18,284","18,302","18,253","18,095","17,951","17,819","17,737","17,796","17,822","17,883"
Union,"19,109","19,107","19,116","19,191","19,105","19,063","18,991","19,159","19,219","19,399","19,689","19,972"
Van Buren,"5,548","5,558","5,569","5,555","5,653","5,574","5,696","5,695","5,721","5,747","5,763","5,872"
Warren,"39,839","39,824","39,858","39,907","39,744","39,875","39,983","40,262","40,428","40,717","40,826","41,277"
Washington,"122,979","123,063","123,384","123,887","124,873","125,397","125,745","126,137","127,247","127,603","128,661","129,375"
Wayne,"17,021","17,025","16,985","17,000","16,973","16,920","16,860","16,767","16,747","16,641","16,635","16,673"
Weakley,"35,021","35,015","35,044","34,857","34,554","34,155","34,001","33,872","33,610","33,325","33,413","33,328"
White,"25,841","25,844","25,828","26,050","26,031","26,193","26,264","26,342","26,463","26,764","27,086","27,345"
Williamson,"183,182","183,277","184,143","188,501","193,211","199,143","205,334","211,605","218,903","226,048","231,978","238,412"
Wilson,"113,993","114,062","114,677","116,800","119,143","121,990","125,197","128,536","132,494","136,691","140,954","144,657"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
